"w"	"term"	"HR"	"lo_95ci"	"up_95ci"	"p.value"
"1"	"i0"	"event.lag"	NA	NA	NA	0
"2"	"i0b"	"event.lag"	NA	NA	NA	NA
"3"	"i0c"	"event.lag"	NA	NA	NA	0
"4"	"i0d"	"event.lag"	NA	NA	NA	NA
"5"	"i1"	"event.lag"	0,37	0,35	0,4	0
"6"	"i1"	"comp_bpsc_y2_moderate.lag"	1	0,94	1,06	1
"7"	"i1"	"comp_bpsc_y3_severe.lag"	1,08	1,02	1,14	0,01
"8"	"i1"	"less_90d_tr1.lag"	1	0,97	1,03	0,95
"9"	"i1"	"policonsumo2.lag"	0,9	0,86	0,93	0
"10"	"i1b"	"event.lag"	NA	NA	NA	NA
"11"	"i1b"	"comp_bpsc_y2_moderate.lag"	0,99	0,93	1,05	0,75
"12"	"i1b"	"comp_bpsc_y3_severe.lag"	1,66	1,56	1,77	0
"13"	"i1b"	"less_90d_tr1.lag"	1,72	1,67	1,77	0
"14"	"i1b"	"policonsumo2.lag"	1,16	1,11	1,21	0
"15"	"i1c"	"event.lag"	0,28	0,25	0,3	0
"16"	"i1c"	"comp_bpsc_y2_moderate.lag"	0,98	0,92	1,05	0,64
"17"	"i1c"	"comp_bpsc_y3_severe.lag"	1,05	0,98	1,12	0,19
"18"	"i1c"	"less_90d_tr1.lag"	1,1	1,06	1,15	0
"19"	"i1c"	"policonsumo2.lag"	0,89	0,85	0,93	0
"20"	"i1d"	"event.lag"	NA	NA	NA	NA
"21"	"i1d"	"comp_bpsc_y2_moderate.lag"	0,98	0,92	1,05	0,58
"22"	"i1d"	"comp_bpsc_y3_severe.lag"	1,46	1,37	1,57	0
"23"	"i1d"	"less_90d_tr1.lag"	1,6	1,54	1,65	0
"24"	"i1d"	"policonsumo2.lag"	1,08	1,03	1,13	0
"25"	"i2"	"event.lag"	0,73	0,67	0,81	0
"26"	"i2"	"comp_bpsc_y2_moderate.lag"	1,04	0,96	1,12	0,38
"27"	"i2"	"comp_bpsc_y3_severe.lag"	1,19	1,09	1,29	0
"28"	"i2"	"less_90d_tr1.lag"	1,16	1,11	1,22	0
"29"	"i2"	"policonsumo2.lag"	0,85	0,8	0,9	0
"30"	"i2"	"treatment"	0,35	0,34	0,37	0
"31"	"i3"	"event.lag"	0,38	0,36	0,41	0
"32"	"i3"	"comp_bpsc_y2_moderate.lag"	1	0,94	1,06	0,91
"33"	"i3"	"comp_bpsc_y3_severe.lag"	1,07	1,01	1,14	0,02
"34"	"i3"	"less_90d_tr1.lag"	1	0,97	1,03	0,97
"35"	"i3"	"policonsumo2.lag"	0,88	0,85	0,92	0
"36"	"i3"	"policonsumo2"	1,07	1,05	1,09	0
"37"	"i3b"	"event.lag"	NA	NA	NA	NA
"38"	"i3b"	"comp_bpsc_y2_moderate.lag"	0,99	0,93	1,05	0,72
"39"	"i3b"	"comp_bpsc_y3_severe.lag"	1,66	1,56	1,77	0
"40"	"i3b"	"less_90d_tr1.lag"	1,73	1,68	1,77	0
"41"	"i3b"	"policonsumo2.lag"	1,15	1,1	1,21	0
"42"	"i3b"	"policonsumo2"	1,03	1,01	1,05	0,01
"43"	"i4"	"event.lag"	1,01	0,97	1,06	0,5
"44"	"i4"	"comp_bpsc_y2_moderate.lag"	0,51	0,49	0,54	0
"45"	"i4"	"comp_bpsc_y3_severe.lag"	0,58	0,55	0,61	0
"46"	"i4"	"less_90d_tr1.lag"	1,11	1,07	1,16	0
"47"	"i4"	"policonsumo2.lag"	0,68	0,66	0,71	0
"48"	"i4"	"treatment.lag"	0,88	0,85	0,91	0
"49"	"i4b"	"event.lag"	1,48	1,41	1,55	0
"50"	"i4b"	"comp_bpsc_y2_moderate.lag"	2,2	2,12	2,29	0
"51"	"i4b"	"comp_bpsc_y3_severe.lag"	2,42	2,33	2,51	0
"52"	"i4b"	"less_90d_tr1.lag"	1,24	1,2	1,29	0
"53"	"i4b"	"policonsumo2.lag"	0,92	0,88	0,96	0
"54"	"i4b"	"treatment.lag"	1,04	1,02	1,07	0
"55"	"i4c"	"event.lag"	0,99	0,95	1,03	0,56
"56"	"i4c"	"comp_bpsc_y2_moderate.lag"	0,49	0,46	0,51	0
"57"	"i4c"	"comp_bpsc_y3_severe.lag"	0,56	0,52	0,59	0
"58"	"i4c"	"less_90d_tr1.lag"	1,15	1,1	1,2	0
"59"	"i4c"	"policonsumo2.lag"	0,67	0,64	0,69	0
"60"	"i4c"	"treatment.lag"	0,85	0,82	0,88	0
"61"	"i4d"	"event.lag"	1,5	1,43	1,57	0
"62"	"i4d"	"comp_bpsc_y2_moderate.lag"	1,06	0,99	1,13	0,09
"63"	"i4d"	"comp_bpsc_y3_severe.lag"	1,57	1,46	1,67	0
"64"	"i4d"	"less_90d_tr1.lag"	1,71	1,66	1,78	0
"65"	"i4d"	"policonsumo2.lag"	1,08	1,04	1,13	0
"66"	"i4d"	"treatment.lag"	0,97	0,95	1	0,03
"67"	"i5"	"event.lag"	0,98	0,95	1,02	0,41
"68"	"i5"	"comp_bpsc_y2_moderate.lag"	0,49	0,47	0,52	0
"69"	"i5"	"comp_bpsc_y3_severe.lag"	0,55	0,52	0,58	0
"70"	"i5"	"less_90d_tr1.lag"	1,09	1,05	1,13	0
"71"	"i5"	"policonsumo2.lag"	0,63	0,61	0,65	0
"72"	"i5"	"policonsumo2"	1,31	1,28	1,33	0
"73"	"i5b"	"event.lag"	1,48	1,42	1,55	0
"74"	"i5b"	"comp_bpsc_y2_moderate.lag"	1,05	0,98	1,12	0,18
"75"	"i5b"	"comp_bpsc_y3_severe.lag"	1,61	1,5	1,71	0
"76"	"i5b"	"less_90d_tr1.lag"	1,77	1,71	1,82	0
"77"	"i5b"	"policonsumo2.lag"	1,05	1	1,1	0,03
"78"	"i5b"	"policonsumo2"	1,22	1,19	1,24	0
