="",="stats_3",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_stipw_nostag_rp9_tvcdf7",="2378",=".",="-8870.358",="18",="17776.72",="17880.65"
="m2_stipw_nostag_rp8_tvcdf7",="2378",=".",="-8872.454",="17",="17778.91",="17877.07"
="m2_stipw_nostag_rp9_tvcdf6",="2378",=".",="-8876.215",="17",="17786.43",="17884.59"
="m2_stipw_nostag_rp10_tvcdf7",="2378",=".",="-8875.697",="19",="17789.39",="17899.1"
="m2_stipw_nostag_rp7_tvcdf7",="2378",=".",="-8880.206",="16",="17792.41",="17884.8"
="m2_stipw_nostag_rp8_tvcdf6",="2378",=".",="-8880.879",="16",="17793.76",="17886.14"
="m2_stipw_nostag_rp10_tvcdf6",="2378",=".",="-8880.186",="18",="17796.37",="17900.31"
="m2_stipw_nostag_rp9_tvcdf5",="2378",=".",="-8884.164",="16",="17800.33",="17892.71"
="m2_stipw_nostag_rp6_tvcdf6",="2378",=".",="-8886.296",="14",="17800.59",="17881.43"
="m2_stipw_nostag_rp6_tvcdf7",="2378",=".",="-8885.471",="15",="17800.94",="17887.55"
="m2_stipw_nostag_rp7_tvcdf6",="2378",=".",="-8887.658",="15",="17805.32",="17891.93"
="m2_stipw_nostag_rp8_tvcdf5",="2378",=".",="-8887.957",="15",="17805.91",="17892.52"
="m2_stipw_nostag_rp9_tvcdf4",="2378",=".",="-8889.492",="15",="17808.98",="17895.6"
="m2_stipw_nostag_rp10_tvcdf5",="2378",=".",="-8887.914",="17",="17809.83",="17907.99"
="m2_stipw_nostag_rp6_tvcdf5",="2378",=".",="-8893.431",="13",="17812.86",="17887.92"
="m2_stipw_nostag_rp7_tvcdf5",="2378",=".",="-8892.999",="14",="17814",="17894.84"
="m2_stipw_nostag_rp5_tvcdf5",="2378",=".",="-8895.213",="12",="17814.43",="17883.71"
="m2_stipw_nostag_rp5_tvcdf6",="2378",=".",="-8894.439",="13",="17814.88",="17889.94"
="m2_stipw_nostag_rp8_tvcdf4",="2378",=".",="-8893.488",="14",="17814.98",="17895.81"
="m2_stipw_nostag_rp5_tvcdf7",="2378",=".",="-8893.901",="14",="17815.8",="17896.64"
="m2_stipw_nostag_rp5_tvcdf4",="2378",=".",="-8897.284",="11",="17816.57",="17880.08"
="m2_stipw_nostag_rp10_tvcdf4",="2378",=".",="-8893.246",="16",="17818.49",="17910.88"
="m2_stipw_nostag_rp6_tvcdf4",="2378",=".",="-8897.839",="12",="17819.68",="17888.97"
="m2_stipw_nostag_rp7_tvcdf4",="2378",=".",="-8897.054",="13",="17820.11",="17895.17"
="m2_stipw_nostag_rp4_tvcdf4",="2378",=".",="-8905.45",="10",="17830.9",="17888.64"
="m2_stipw_nostag_rp4_tvcdf6",="2378",=".",="-8903.598",="12",="17831.2",="17900.48"
="m2_stipw_nostag_rp4_tvcdf7",="2378",=".",="-8904.127",="13",="17834.25",="17909.32"
="m2_stipw_nostag_rp4_tvcdf5",="2378",=".",="-8906.324",="11",="17834.65",="17898.16"
="m2_stipw_nostag_rp9_tvcdf1",="2378",=".",="-8905.521",="12",="17835.04",="17904.33"
="m2_stipw_nostag_rp9_tvcdf2",="2378",=".",="-8905.404",="13",="17836.81",="17911.87"
="m2_stipw_nostag_rp9_tvcdf3",="2378",=".",="-8905.053",="14",="17838.11",="17918.94"
="m2_stipw_nostag_rp8_tvcdf1",="2378",=".",="-8911.454",="11",="17844.91",="17908.42"
="m2_stipw_nostag_rp10_tvcdf1",="2378",=".",="-8910",="13",="17846",="17921.06"
="m2_stipw_nostag_rp8_tvcdf2",="2378",=".",="-8911.424",="12",="17846.85",="17916.14"
="m2_stipw_nostag_rp10_tvcdf2",="2378",=".",="-8909.898",="14",="17847.8",="17928.63"
="m2_stipw_nostag_rp8_tvcdf3",="2378",=".",="-8910.918",="13",="17847.84",="17922.9"
="m2_stipw_nostag_rp10_tvcdf3",="2378",=".",="-8909.489",="15",="17848.98",="17935.59"
="m2_stipw_nostag_rp6_tvcdf1",="2378",=".",="-8915.573",="9",="17849.15",="17901.11"
="m2_stipw_nostag_rp6_tvcdf2",="2378",=".",="-8915.547",="10",="17851.09",="17908.83"
="m2_stipw_nostag_rp6_tvcdf3",="2378",=".",="-8915.104",="11",="17852.21",="17915.72"
="m2_stipw_nostag_rp5_tvcdf1",="2378",=".",="-8918.653",="8",="17853.31",="17899.5"
="m2_stipw_nostag_rp7_tvcdf1",="2378",=".",="-8916.87",="10",="17853.74",="17911.48"
="m2_stipw_nostag_rp5_tvcdf2",="2378",=".",="-8918.613",="9",="17855.23",="17907.19"
="m2_stipw_nostag_rp7_tvcdf2",="2378",=".",="-8916.864",="11",="17855.73",="17919.24"
="m2_stipw_nostag_rp5_tvcdf3",="2378",=".",="-8918.276",="10",="17856.55",="17914.29"
="m2_stipw_nostag_rp7_tvcdf3",="2378",=".",="-8916.433",="12",="17856.87",="17926.15"
="m2_stipw_nostag_rp4_tvcdf1",="2378",=".",="-8924.273",="7",="17862.55",="17902.96"
="m2_stipw_nostag_rp4_tvcdf2",="2378",=".",="-8924.27",="8",="17864.54",="17910.73"
="m2_stipw_nostag_rp4_tvcdf3",="2378",=".",="-8923.967",="9",="17865.93",="17917.9"
="m2_stipw_nostag_rp2_tvcdf1",="2378",=".",="-8935.838",="5",="17881.68",="17910.55"
="m2_stipw_nostag_rp3_tvcdf1",="2378",=".",="-8935.111",="6",="17882.22",="17916.87"
="m2_stipw_nostag_rp2_tvcdf2",="2378",=".",="-8935.834",="6",="17883.67",="17918.31"
="m2_stipw_nostag_rp3_tvcdf2",="2378",=".",="-8935.105",="7",="17884.21",="17924.63"
="m2_stipw_nostag_rp2_tvcdf3",="2378",=".",="-8935.575",="7",="17885.15",="17925.57"
="m2_stipw_nostag_logn",="2378",="-8979.563",="-8939.604",="3",="17885.21",="17902.53"
="m2_stipw_nostag_rp3_tvcdf3",="2378",=".",="-8935.071",="8",="17886.14",="17932.33"
="m2_stipw_nostag_rp2_tvcdf4",="2378",=".",="-8935.503",="8",="17887.01",="17933.2"
="m2_stipw_nostag_rp3_tvcdf4",="2378",=".",="-8934.933",="9",="17887.87",="17939.83"
="m2_stipw_nostag_rp2_tvcdf5",="2378",=".",="-8934.976",="9",="17887.95",="17939.92"
="m2_stipw_nostag_rp2_tvcdf6",="2378",=".",="-8934.388",="10",="17888.78",="17946.52"
="m2_stipw_nostag_rp3_tvcdf5",="2378",=".",="-8934.425",="10",="17888.85",="17946.59"
="m2_stipw_nostag_rp2_tvcdf7",="2378",=".",="-8933.659",="11",="17889.32",="17952.83"
="m2_stipw_nostag_rp3_tvcdf6",="2378",=".",="-8933.848",="11",="17889.7",="17953.21"
="m2_stipw_nostag_rp3_tvcdf7",="2378",=".",="-8933.14",="12",="17890.28",="17959.57"
="m2_stipw_nostag_rp1_tvcdf2",="2378",=".",="-8940.919",="5",="17891.84",="17920.71"
="m2_stipw_nostag_rp1_tvcdf3",="2378",=".",="-8940.696",="6",="17893.39",="17928.04"
="m2_stipw_nostag_rp1_tvcdf4",="2378",=".",="-8940.588",="7",="17895.18",="17935.59"
="m2_stipw_nostag_rp1_tvcdf5",="2378",=".",="-8940.073",="8",="17896.15",="17942.34"
="m2_stipw_nostag_llog",="2378",="-8987.247",="-8945.367",="3",="17896.73",="17914.06"
="m2_stipw_nostag_rp1_tvcdf6",="2378",=".",="-8939.474",="9",="17896.95",="17948.91"
="m2_stipw_nostag_rp1_tvcdf7",="2378",=".",="-8938.755",="10",="17897.51",="17955.25"
="m2_stipw_nostag_wei",="2378",="-8988.473",="-8946.532",="3",="17899.06",="17916.39"
="m2_stipw_nostag_rp1_tvcdf1",="2378",=".",="-8946.125",="4",="17900.25",="17923.35"
="m2_stipw_nostag_gom",="2378",="-9012.037",="-8968.985",="3",="17943.97",="17961.29"
="m2_stipw_nostag_exp",="2378",="-9148.668",="-9112.923",="2",="18229.85",="18241.39"
