="",="stats_126",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_24_rp7_tvc_1",="5144",=".",="-21504.7",="380",="43769.39",="46256.72"
="m_24_rp6_tvc_1",="5144",=".",="-21505.9",="379",="43769.8",="46250.57"
="m_24_rp7_tvc_2",="5144",=".",="-21504.38",="382",="43772.75",="46273.17"
="m_24_rp6_tvc_2",="5144",=".",="-21505.57",="381",="43773.15",="46267.01"
="m_24_rp5_tvc_1",="5144",=".",="-21509.7",="378",="43775.4",="46249.63"
="m_24_rp7_tvc_3",="5144",=".",="-21504.02",="384",="43776.03",="46289.54"
="m_24_rp6_tvc_3",="5144",=".",="-21505.15",="383",="43776.31",="46283.27"
="m_24_rp7_tvc_4",="5144",=".",="-21502.21",="386",="43776.43",="46303.02"
="m_24_rp6_tvc_4",="5144",=".",="-21503.39",="385",="43776.77",="46296.83"
="m_24_rp5_tvc_2",="5144",=".",="-21509.36",="380",="43778.72",="46266.05"
="m_24_rp5_tvc_4",="5144",=".",="-21505.42",="384",="43778.83",="46292.34"
="m_24_rp7_tvc_5",="5144",=".",="-21501.54",="388",="43779.09",="46318.78"
="m_24_rp6_tvc_5",="5144",=".",="-21503.11",="387",="43780.23",="46313.37"
="m_24_rp7_tvc_6",="5144",=".",="-21500.43",="390",="43780.86",="46333.64"
="m_24_rp5_tvc_3",="5144",=".",="-21509.01",="382",="43782.03",="46282.44"
="m_24_rp6_tvc_6",="5144",=".",="-21502.5",="389",="43783.01",="46329.24"
="m_24_rp4_tvc_1",="5144",=".",="-21514.9",="377",="43783.81",="46251.49"
="m_24_rp5_tvc_6",="5144",=".",="-21504.15",="388",="43784.3",="46323.99"
="m_24_rp4_tvc_6",="5144",=".",="-21505.28",="387",="43784.55",="46317.69"
="m_24_rp5_tvc_5",="5144",=".",="-21507.15",="386",="43786.29",="46312.89"
="m_24_rp7_tvc_7",="5144",=".",="-21501.36",="392",="43786.71",="46352.58"
="m_24_rp4_tvc_2",="5144",=".",="-21514.56",="379",="43787.13",="46267.9"
="m_24_rp3_tvc_6",="5144",=".",="-21507.57",="386",="43787.13",="46313.73"
="m_24_rp5_tvc_7",="5144",=".",="-21503.94",="390",="43787.88",="46340.66"
="m_24_rp4_tvc_7",="5144",=".",="-21505.11",="389",="43788.22",="46334.45"
="m_24_rp6_tvc_7",="5144",=".",="-21503.36",="391",="43788.72",="46348.05"
="m_24_rp4_tvc_3",="5144",=".",="-21513.63",="381",="43789.26",="46283.13"
="m_24_rp3_tvc_7",="5144",=".",="-21507.02",="388",="43790.04",="46329.73"
="m_24_rp3_tvc_5",="5144",=".",="-21511.4",="384",="43790.8",="46304.31"
="m_24_rp4_tvc_4",="5144",=".",="-21512.5",="383",="43791",="46297.96"
="m_24_rp3_tvc_1",="5144",=".",="-21519.68",="376",="43791.37",="46252.51"
="m_24_rp4_tvc_5",="5144",=".",="-21510.99",="385",="43791.97",="46312.02"
="m_24_rp2_tvc_6",="5144",=".",="-21511.38",="385",="43792.76",="46312.81"
="m_24_rp3_tvc_2",="5144",=".",="-21519.39",="378",="43794.77",="46269"
="m_24_rp2_tvc_7",="5144",=".",="-21510.98",="387",="43795.97",="46329.11"
="m_24_rp2_tvc_5",="5144",=".",="-21515.07",="383",="43796.15",="46303.11"
="m_24_rp3_tvc_4",="5144",=".",="-21516.51",="382",="43797.02",="46297.43"
="m_24_rp3_tvc_3",="5144",=".",="-21518.95",="380",="43797.9",="46285.22"
="m_24_rp2_tvc_4",="5144",=".",="-21518.9",="381",="43799.8",="46293.67"
="m_24_rp1_tvc_6",="5144",=".",="-21517.18",="384",="43802.36",="46315.87"
="m_24_rp2_tvc_3",="5144",=".",="-21523.03",="379",="43804.06",="46284.83"
="m_24_rp1_tvc_7",="5144",=".",="-21516.82",="386",="43805.64",="46332.24"
="m_24_rp1_tvc_5",="5144",=".",="-21520.97",="382",="43805.94",="46306.36"
="m_24_rp1_tvc_4",="5144",=".",="-21524.66",="380",="43809.31",="46296.63"
="m_24_rp1_tvc_3",="5144",=".",="-21528.43",="378",="43812.85",="46287.08"
="m_24_rp2_tvc_1",="5144",=".",="-21537.37",="375",="43824.73",="46279.33"
="m_24_rp2_tvc_2",="5144",=".",="-21536.86",="377",="43827.73",="46295.41"
="m_24_rp1_tvc_2",="5144",=".",="-21542.37",="376",="43836.75",="46297.89"
="m_24_rp1_tvc_1",="5144",=".",="-21600.49",="374",="43948.98",="46397.03"
